"Company","Date","Avg_Volatility","Max_Volatility","Min_Volatility"
"AAPL","2025-04-14","0.922","4.52","0.29"
"AAPL","2025-04-15","0.662","2.02","0.23"
"AAPL","2025-04-16","0.646","2.4","0.18"
"AAPL","2025-04-17","0.683","2.14","0.24"
"AAPL","2025-04-21","0.482","1.22","0.13"
"AAPL","2025-04-22","0.61","1.87","0.2"
"AAPL","2025-04-23","0.795","2.76","0.26"
"AAPL","2025-04-24","0.484","1.51","0.13"
"AMZN","2025-04-14","0.669","2.08","0.18"
"AMZN","2025-04-15","0.564","2.19","0.2"
"AMZN","2025-04-16","0.594","1.72","0.2"
"AMZN","2025-04-17","0.554","2.25","0.22"
"AMZN","2025-04-21","0.434","1.32","0.15"
"AMZN","2025-04-22","0.561","1.54","0.19"
"AMZN","2025-04-23","0.726","2.15","0.3"
"AMZN","2025-04-24","0.502","1.36","0.23"
"BABA","2025-04-14","0.464","1.77","0.12"
"BABA","2025-04-15","0.322","0.85","0.12"
"BABA","2025-04-16","0.317","1.18","0.09"
"BABA","2025-04-17","0.309","1.01","0.09"
"BABA","2025-04-21","0.257","1.0","0.09"
"BABA","2025-04-22","0.407","1.43","0.12"
"BABA","2025-04-23","0.508","2.83","0.1"
"BABA","2025-04-24","0.284","1.11","0.09"
"CSCO","2025-04-14","0.143","0.4","0.05"
"CSCO","2025-04-15","0.117","0.38","0.03"
"CSCO","2025-04-16","0.125","0.41","0.05"
"CSCO","2025-04-17","0.13","0.38","0.06"
"CSCO","2025-04-21","0.096","0.36","0.04"
"CSCO","2025-04-22","0.111","0.42","0.03"
"CSCO","2025-04-23","0.158","0.5","0.04"
"CSCO","2025-04-24","0.093","0.46","0.03"
"GOOG","2025-04-14","0.477","1.38","0.15"
"GOOG","2025-04-15","0.397","1.1","0.12"
"GOOG","2025-04-16","0.412","1.12","0.16"
"GOOG","2025-04-17","0.53","3.81","0.17"
"GOOG","2025-04-21","0.308","0.96","0.12"
"GOOG","2025-04-22","0.381","0.94","0.14"
"GOOG","2025-04-23","0.505","1.7","0.19"
"GOOG","2025-04-24","0.34","0.97","0.15"
"IBM","2025-04-14","0.662","1.83","0.21"
"IBM","2025-04-15","0.542","1.74","0.17"
"IBM","2025-04-16","0.664","1.49","0.26"
"IBM","2025-04-17","0.667","2.28","0.3"
"IBM","2025-04-21","0.552","2.16","0.23"
"IBM","2025-04-22","0.56","1.51","0.17"
"IBM","2025-04-23","0.802","2.38","0.3"
"IBM","2025-04-24","1.018","4.81","0.28"
"MSFT","2025-04-14","1.006","2.17","0.33"
"MSFT","2025-04-15","0.899","2.35","0.28"
"MSFT","2025-04-16","0.965","3.03","0.39"
"MSFT","2025-04-17","0.966","2.3","0.42"
"MSFT","2025-04-21","0.666","1.97","0.29"
"MSFT","2025-04-22","0.852","3.5","0.29"
"MSFT","2025-04-23","1.116","3.31","0.36"
"MSFT","2025-04-24","0.756","1.98","0.25"
"NVDA","2025-04-14","0.562","1.48","0.18"
"NVDA","2025-04-15","0.423","1.8","0.11"
"NVDA","2025-04-16","0.538","2.05","0.23"
"NVDA","2025-04-17","0.483","1.56","0.19"
"NVDA","2025-04-21","0.372","1.82","0.15"
"NVDA","2025-04-22","0.4","1.53","0.14"
"NVDA","2025-04-23","0.471","1.62","0.15"
"NVDA","2025-04-24","0.33","1.02","0.12"
"SAP","2025-04-14","0.578","1.62","0.09"
"SAP","2025-04-15","0.41","1.45","0.0"
"SAP","2025-04-16","0.487","1.17","0.17"
"SAP","2025-04-17","0.511","1.5","0.2"
"SAP","2025-04-21","0.518","2.1","0.14"
"SAP","2025-04-22","0.566","1.63","0.22"
"SAP","2025-04-23","0.798","3.52","0.25"
"SAP","2025-04-24","0.402","1.03","0.0"
"TSLA","2025-04-14","1.579","4.17","0.56"
"TSLA","2025-04-15","1.266","3.78","0.44"
"TSLA","2025-04-16","1.288","3.81","0.61"
"TSLA","2025-04-17","1.291","3.16","0.59"
"TSLA","2025-04-21","1.031","4.45","0.36"
"TSLA","2025-04-22","1.189","3.45","0.45"
"TSLA","2025-04-23","1.841","7.73","0.64"
"TSLA","2025-04-24","1.065","4.4","0.39"
